date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:52:19	92151/92151	---M--	200	added ('OK')	text/html	etag:%22LmWdjNQ32QMPmI4iBbwNWxU4L/4=%22	https://learn.microsoft.com/en-us/aspnet/core/blazor/tutorials/signalr-blazor?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/blazor/tutorials/signalr-blazor553c.html	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
00:52:21	179584/179584	---M--	200	added ('OK')	text/html	etag:%22sB4mrn+0ayX7sAVtvcrouLUh0Uc=%22	https://learn.microsoft.com/en-us/aspnet/core/tutorials/signalr-typescript-webpack?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/tutorials/signalr-typescript-webpack553c.html	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
00:52:22	232505/232505	---M--	200	added ('OK')	text/html	etag:%220DwdNWYbFX5myLM/8DSj5NeE/Is=%22	https://learn.microsoft.com/en-us/aspnet/core/tutorials/grpc/grpc-start?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/tutorials/grpc/grpc-start553c.html	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
00:52:22	58366/58366	---M--	200	added ('OK')	text/html	etag:%220TBPh3y4bAatfAI1hT4numkCSIM=%22	https://learn.microsoft.com/en-us/aspnet/core/grpc/basics?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/grpc/basics553c.html	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
00:52:23	55101/55101	---M--	200	added ('OK')	text/html	etag:%22NQ0gg9hihvypEoqfsu0tVVKHjzY=%22	https://learn.microsoft.com/en-us/aspnet/core/grpc/?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/grpc/index553c.html	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
00:52:23	53739/53739	---M--	200	added ('OK')	text/html	etag:%22NQEsAVAWXRjFc4qzFqFnCbH2ohM=%22	https://learn.microsoft.com/en-us/aspnet/core/grpc/comparison?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/grpc/comparison553c.html	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
00:52:24	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2006%20Aug%202025%2014:52:24%20GMT	https://learn.microsoft.com/en-us/aspnet/core/fundamentals/servers/overview?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/fundamentals/servers/overview553c	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
00:52:26	136949/136949	---M--	200	added ('OK')	text/html	etag:%22udchMGbOeIEKCO1/jLWjAhKDvjw=%22	https://learn.microsoft.com/en-us/aspnet/core/fundamentals/servers/kestrel?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/fundamentals/servers/kestrel553c.html	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
00:52:27	164683/164683	---M--	200	added ('OK')	text/html	etag:%22/MVzoXUbkyAMG6Th1xY8EwT3InE=%22	https://learn.microsoft.com/en-us/aspnet/core/fundamentals/servers/httpsys?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/fundamentals/servers/httpsys553c.html	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
00:52:27	70514/70514	---M--	200	added ('OK')	text/html	etag:%22QXxFiz8GiMnMyw4sPg+mtqfVS8k=%22	https://learn.microsoft.com/en-us/aspnet/core/fundamentals/servers/?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/fundamentals/servers/index553c.html	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
00:52:27	165240/165240	---M--	200	added ('OK')	text/html	etag:%22pG63knZR2PZ/6aEsjw3nUzraM+8=%22	https://learn.microsoft.com/en-us/aspnet/core/host-and-deploy/iis/?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/host-and-deploy/iis/index553c.html	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
00:52:27	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2006%20Aug%202025%2014:52:27%20GMT	https://learn.microsoft.com/en-us/aspnet/core/host-and-deploy/linux-apache?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/host-and-deploy/linux-apache.1d553c.delayed	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
00:52:29	157724/157724	---M--	200	added ('OK')	text/html	etag:%22oPjlXkVWfRziFi+Dol4SdtahCIU=%22	https://learn.microsoft.com/en-us/aspnet/core/host-and-deploy/linux-nginx?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/host-and-deploy/linux-nginx553c.html	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
00:52:29	76100/76100	---M--	200	added ('OK')	text/html	etag:%22BLd26lS8HUmfBt6z2HcQBAdSIQc=%22	https://learn.microsoft.com/en-us/aspnet/core/host-and-deploy/azure-apps/?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/host-and-deploy/azure-apps/index553c.html	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
00:52:29	52703/52703	---M--	200	added ('OK')	text/html	etag:%228G8yItYr9xCkSPKFBc2iwgdeHJ4=%22	https://learn.microsoft.com/en-us/aspnet/core/security/how-to-choose-identity-solution?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/security/how-to-choose-identity-solution553c.html	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
00:52:30	60947/60947	---MC-	200	added ('OK')	text/html	etag:%223R5/kzsV7LtQIgLGBlhNXnr4EOM=%22	https://learn.microsoft.com/en-us/aspnet/core/host-and-deploy/?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/host-and-deploy/index553c.html	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
00:52:30	49742/49742	---M--	200	added ('OK')	text/html	etag:%22+iL+FATKmUGmRGo3dijPtWkFSVQ=%22	https://learn.microsoft.com/en-us/aspnet/core/security/?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/security/index553c.html	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
00:52:31	43038/43038	---MC-	200	added ('OK')	text/html	etag:%22JnDN7hT/GwquSKMIHfYBaFTJK8k=%22	https://learn.microsoft.com/en-us/aspnet/core/security/authorization/introduction?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/security/authorization/introduction553c.html	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
00:52:31	46949/46949	---MC-	200	added ('OK')	text/html	etag:%22lL2ac3IHGsVRuiy2Gi8l9WqEPDc=%22	https://learn.microsoft.com/en-us/aspnet/core/host-and-deploy/docker/?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/host-and-deploy/docker/index553c.html	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
00:52:31	90356/90356	---M--	200	added ('OK')	text/html	etag:%22TYX/soBdaM4/ctaYyViYv8pqymw=%22	https://learn.microsoft.com/en-us/aspnet/core/security/authentication/?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/security/authentication/index553c.html	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
00:52:31	60294/60294	---M--	200	added ('OK')	text/html	etag:%22m+DSlUnsWr4Vv+NsT/ABr0qP1+U=%22	https://learn.microsoft.com/en-us/aspnet/core/security/data-protection/introduction?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/security/data-protection/introduction553c.html	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
00:52:32	89205/89205	---M--	200	added ('OK')	text/html	etag:%22MSXrgKmAqsnaUARs/3SFu0MPF7Q=%22	https://learn.microsoft.com/en-us/aspnet/core/security/app-secrets?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/security/app-secrets553c.html	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
00:52:34	268737/268737	---M--	200	added ('OK')	text/html	etag:%22FOhlhdmIJc6oZz+lS6nHkgOL96g=%22	https://learn.microsoft.com/en-us/aspnet/core/security/enforcing-ssl?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/security/enforcing-ssl553c.html	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
00:52:35	60577/60577	---MC-	200	added ('OK')	text/html	etag:%22zaPI38XaB79v/al1VdlibW4z/wM=%22	https://learn.microsoft.com/en-us/aspnet/core/security/docker-https?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/security/docker-https553c.html	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
00:52:36	97368/97368	---MC-	200	added ('OK')	text/html	etag:%22xL6IvKcYLb3qKYgCtPQOczpZ9ew=%22	https://learn.microsoft.com/en-us/aspnet/core/fundamentals/localization?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/fundamentals/localization553c.html	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
00:52:36	80335/80335	---M--	200	added ('OK')	text/html	etag:%22Gxw9ogHnCD+dKnnsfyKwRQ1AWN8=%22	https://learn.microsoft.com/en-us/aspnet/core/fundamentals/portable-object-localization?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/fundamentals/portable-object-localization553c.html	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
00:52:38	50734/50734	---MC-	200	added ('OK')	text/html	etag:%22UydD7RP0CGe7gIAvPpu2ZN3lY/Y=%22	https://learn.microsoft.com/en-us/aspnet/core/fundamentals/localization-extensibility?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/fundamentals/localization-extensibility553c.html	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
00:52:39	50357/50357	---MC-	200	added ('OK')	text/html	etag:%22rx8FKtq0G6PzIpQQTpP0BLapeJA=%22	https://learn.microsoft.com/en-us/aspnet/core/fundamentals/troubleshoot-aspnet-core-localization?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/fundamentals/troubleshoot-aspnet-core-localization553c.html	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
00:52:40	85275/85275	---MC-	200	added ('OK')	text/html	etag:%22NB3cI+v8wEjnI40oJwDg6v4goik=%22	https://learn.microsoft.com/en-us/aspnet/core/test/razor-pages-tests?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/test/razor-pages-tests553c.html	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
00:52:41	356199/356199	---M--	200	added ('OK')	text/html	etag:%22ynFkfQMD0V5Rs6osUCAUPs4m4Lo=%22	https://learn.microsoft.com/en-us/aspnet/core/test/integration-tests?view=aspnetcore-9.0	~/websites/aspnet-docs/learn.microsoft.com/en-us/aspnet/core/test/integration-tests553c.html	(from https://learn.microsoft.com/en-us/aspnet/core/?view=aspnetcore-9.0)
